Sentence,Emotion
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,Fear
t gặp quả này thì bỏ xe mà chạy ??,Fear
thế con trai là của ai cho,Other
per đây mí chính là cụ tổ của những chiếc sừng này,Surprise
muốn share về mà sợ bị bạn nè phẫn nộ quá,Fear
"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",Sadness
nay buồn :(((,Sadness
"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",Fear
ai có link nhạc mấy bài trên không ạ hay vãi ra,Enjoyment
đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,Other
phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Other
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,Sadness
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,Enjoyment
đéo được tích sự gì 😂,Anger
haizzz ... thế là chưa có kq gì tốt đẹp cả ..,Sadness
bản thân cố gắng cũng chẳng dễ dàng gì :((,Sadness
"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",Disgust
thế em ăn cơm chưa ?,Other
"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",Other
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,Disgust
mày coi chừng có ngày tao dã dô mặt mày như dzầy,Anger
canh thời gian đăng đúng vãi !,Surprise
quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,Disgust
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,Sadness
mình thi xong còn không khóc được 😢,Sadness
"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",Enjoyment
"per trừ điểm , trừ điểm",Sadness
"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",Disgust
cả tuần không được nói chuyện,Sadness
per mày cẩn thận tao giết,Anger
cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,Disgust
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),Other
đẹp trai quá,Enjoyment
đóng cái lồn tao nè chứ đóng,Anger
"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",Sadness
"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",Sadness
hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),Enjoyment
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,Disgust
"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",Disgust
dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,Enjoyment
ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,Sadness
giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,Sadness
per tao được làm fan cứng giống mày rồi 🤣,Enjoyment
xem cái này mới biết vốn tiếng anh của mình cũng khá !,Surprise
thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,Disgust
ôi bé xinh gái vãi :)),Enjoyment
cười sái mẹ quai hàm,Enjoyment
rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,Sadness
tự dưng cay mẹ mắt,Sadness
tao sợ thật sự :(((,Fear
per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,Enjoyment
tốt quá,Enjoyment
ông nào viết vui tính thế =)) cưng thật,Enjoyment
không hiểu sao nhìu người lại thả haha nhỉ ??,Surprise
diễn viên già vãi -.-,Disgust
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,Enjoyment
cưng quá đi,Enjoyment
nhìn mẫu này lạ mắt mà đẹp quá,Surprise
tao cay mẹ khoé mắt,Sadness
thấy mệt thêm chứ chẳng khỏe gì cả .,Disgust
":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",Enjoyment
"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",Enjoyment
tao mệt chúng mày quá,Disgust
hahaha lúc trước ca làm có 4 chị em vui biết bao :)),Enjoyment
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,Disgust
các bạn đang bảo con này ah 😂😂😂,Other
má chủ dễ thương vậy tao cũng muốn xin,Enjoyment
"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",Enjoyment
"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",Sadness
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,Anger
nhìn thương quá ... lao động nghiêm túc,Enjoyment
đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),Sadness
per mấy trụ kia em không tag được,Other
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,Anger
per ơ ơ ơ đây là đâu vậy,Surprise
gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,Anger
"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",Disgust
k phải là trời không cho mày yêu . vì m quá ngulon,Disgust
"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",Fear
hết tiền rồi này,Sadness
"đẹp , dẽ thương mà",Enjoyment
tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,Anger
phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,Enjoyment
thế làm sao dỗ bạn gái đang giận :(,Sadness
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),Anger
loài này bé như ngón tay phàm ăn lắm sợ luôn,Fear
"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",Disgust
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,Disgust
chẳng đủ dịu dàng để níu bước chân anh,Sadness
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,Other
mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,Enjoyment
em chưa có người yêu . có ai yêu em không . em cô đơn quá,Sadness
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,Enjoyment
per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),Enjoyment
bả đòi cái gì vậy ?,Other
"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",Sadness
per biết không :))),Surprise
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,Sadness
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,Disgust
cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,Disgust
lên án nhiều rồi mà vẫn thế .,Disgust
thằng này ngu vãi,Disgust
cây tre có tận trăm đốt luôn hả ???,Surprise
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,Sadness
"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",Disgust
"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",Fear
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,Enjoyment
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,Disgust
và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,Sadness
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,Disgust
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,Disgust
tao thấy giống khùng với lại vô duyên chứ hay gì,Disgust
cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,Enjoyment
t gặp ngỗng chạy bỏ dép,Fear
"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",Disgust
sao nó trèo lên được hay vậy @@,Surprise
"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",Enjoyment
cuộc sống mà đành chịu thôi =(((,Sadness
"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",Sadness
"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",Other
"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",Enjoyment
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,Disgust
t thấy chả có gì thú vị .,Other
vậy mà củng chẳng hút được khách !,Surprise
khi nào lên chùa ba vàng giải được vong thì kết hôn :)),Enjoyment
thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,Disgust
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,Enjoyment
cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,Disgust
bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,Other
em đi bộ chết mẹ đây này,Sadness
"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",Enjoyment
"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",Disgust
nhìn mặt nó khó ưa thật chứ,Disgust
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),Other
giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,Other
một cái ngu thật sứng đáng,Disgust
năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,Enjoyment
hãy dùng một đời để minh chứng nhé !💕😍,Other
con mụ đen sai còn già mồm ...,Disgust
chỉ cần yên bình như thế này thôi . ❤️❤️❤️,Enjoyment
năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,Sadness
chỉ sợ lúc nó dí,Fear
hên là chay ra kip,Enjoyment
immm,Anger
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,Sadness
đa ́ người yêuc quá ́,Enjoyment
"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",Disgust
kinh dị v,Fear
thật may em đã gặp được người tài xế tốt 🌸🌸,Enjoyment
bắn không trượt phát nào luôn à,Surprise
tại sao mày nằm viện mà vẫn xinh thế ??,Surprise
đẹp trai mà bị đá à,Surprise
cho con được thay ông bán vé đi 😔,Sadness
lớp xuất hiện thứ âm binh,Disgust
đọc bình luận cười ẻ,Enjoyment
per cách này coi bộ hay nha 😂,Enjoyment
"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",Enjoyment
per thanh niên suốt ngày hát karaoke max volum,Disgust
lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,Disgust
bố mày ngứa mắt lắm rồi đấy,Anger
thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),Anger
cả đám súc vật này,Anger
bố mấy thằng bệnh,Disgust
thật khó để có cả 2 khi chúng ta còn trẻ :),Sadness
nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,Disgust
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,Enjoyment
còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,Disgust
mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,Disgust
cô giáo có tâm vời nghề ghêeeee,Enjoyment
tiếc quá đẹp trai mờ không có chim,Sadness
crush ở nhà chơi gane rồi haha,Enjoyment
nhìn stt đồng cảm khủng khiếp .,Sadness
cài lò xô huyền thoại,Enjoyment
quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,Disgust
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,Disgust
"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",Enjoyment
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,Fear
trốn cũng đéo tha,Anger
"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",Enjoyment
rồi lại im thôi . 200k hay 5tr thì cũng vậy,Sadness
"cái lò huyền thoại nè per , lúc mình ở chung đó",Enjoyment
hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,Fear
tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,Fear
tuyệt vời,Enjoyment
trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :))))),Surprise
tính đi chạy xe mà mưa cho nên ta ở nhà :),Other
nhìn nó cưng quá,Enjoyment
chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,Disgust
"này thì cắt đức quan hệ , toàn thể hiện , dume nó",Disgust
con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,Disgust
hạnh phúc to nè,Enjoyment
"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",Disgust
ông thần nhây vãi đái 😂😂,Enjoyment
tóm lại vẩn ế à,Surprise
chả vị nước mắt à 😔,Sadness
con lợn kia sao đập vào đầu vợ bé của tao =)),Anger
tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,Other
cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,Fear
hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,Enjoyment
hahaa coi cái mặt con nhỏ thấy thương,Enjoyment
"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",Enjoyment
per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,Other
"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",Enjoyment
không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,Enjoyment
per anh tặng vợ cái bát nha kaka,Enjoyment
"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",Enjoyment
như lol,Anger
bất ngờ chưa =))),Surprise
"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",Anger
"ay , đau thế , thằng chó !",Anger
"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",Sadness
"đm cho tù mọt gông đi , cái thứ không não",Anger
con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,Anger
a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,Sadness
"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",Disgust
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,Enjoyment
đáng yêuc quá,Enjoyment
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,Other
làm như chỉ có chúng mày biết yêu nhau ý .,Disgust
nói chung là không nên uống chẳng bổ béo gì đâu,Other
không nổi thì mình chìm haha,Enjoyment
nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,Other
anh cũng bướng làm !,Other
"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",Anger
nhìn ma tiếc từng hạt trân châu,Sadness
thật cảm động,Enjoyment
"trời ơi , tin được không ????",Surprise
per nhìn mặt hài vler :))),Enjoyment
"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",Enjoyment
một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,Enjoyment
người ngoài hành tinh đi học tiếng anh rồi à vãi,Disgust
đó là một câu chuyện buồn 😀,Sadness
lỗi đạo cụ,Disgust
per dạo này bị xàm à 😂😂😂,Disgust
như chết đi sống lại 🙂,Sadness
"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",Sadness
điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,Enjoyment
thả tao ra để tao cắn chết mẹ nó =)),Anger
per tao cứ thấy giống giống mày :))))),Enjoyment
vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,Disgust
"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",Disgust
ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,Enjoyment
cưng hết sức nà,Enjoyment
"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",Disgust
cái nệm này độ đàn hồi đỉnh ghê,Surprise
"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",Sadness
con mèo khốn nạn dám bóp vếu vợ tao à 😡,Anger
"giỏi quá ta , cố gắng phát huy nha",Surprise
"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",Other
ăn cả thế giới đã,Other
"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",Anger
"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",Disgust
chú này tội lắm á :(,Sadness
gọi phường cẩu đi thôi,Anger
link phim đéo có .. mà zo toàn gặp bình luận xàm,Disgust
chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,Sadness
hihi ảo tưởng,Enjoyment
hahah tao chưa nghe hoàn chỉnh bài này lần nào,Enjoyment
mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .,Enjoyment
thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,Other
2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??,Other
dân dùng bằng giả có được khiển trách không nhỉ,Other
vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :)),Disgust
người ta chỉ muốn dụ mày rồi xin một trái thận . 😪,Fear
per huhu trời ơiii,Sadness
lớp 5 mà viết kiểu này cô đánh gãy tay .,Fear
con gái chả thế :)))) con trai đi dume mày có nhận hàng không,Enjoyment
"xoá mẹ nó đi , pr cho nó làm gì",Disgust
t thích nhìn mắt của crush hơn là nhìn nó cười,Enjoyment
hành động đẹp,Enjoyment
"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy",Disgust
"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂",Enjoyment
t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭,Sadness
chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông,Enjoyment
per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :)))),Enjoyment
"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục",Disgust
may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,Other
mặt mày nhìn chán thậc,Disgust
cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,Disgust
per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin,Fear
đau lòng quá,Sadness
chơi mất dậy . gặp tao là tiễn theo điện thoại luôn,Disgust
vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂,Enjoyment
lúc rài không gặp được mặt cờ rút nữa 😪,Sadness
dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,Disgust
giống tao hồi bé ... 😅,Enjoyment
có ai không bị giật mình như tao không . nhạt vãi =))),Disgust
năm nay không được ăn dồi :((,Sadness
ổng bị bắt rồi :( rồi lấy gì coi,Sadness
"per thể loại mới nè , có vẻ phê",Enjoyment
con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :)),Enjoyment
"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .",Disgust
per nhện kìa haha,Enjoyment
per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(,Sadness
càng thân thiết khi quay lưng càng đau lòng .,Sadness
lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :)),Enjoyment
tôi thấy tương lai của tôi trong bức ảnh này :d,Other
"per đấu nhau to rồi , phen này hay",Enjoyment
có thể bán lại cho tớ không ??????,Other
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,Disgust
xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :),Sadness
per phải nói là hiền quá hiền luônnn 🤣,Enjoyment
phạt thế quá nhẹ ...,Anger
có bồ mà cũng sân si,Disgust
trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞,Fear
sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa,Enjoyment
đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi,Other
ướp đông lạnh luôn à,Other
chờ tý tao đi thay bỉm xíu tao quay lại .,Fear
có hiệu quả không mới quan trọng,Other
sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .,Disgust
anh chờ ... đáng yêu ghê,Enjoyment
cười như cục cức trôi sông lạc chợ 😏😏👌,Disgust
tao buồn mấy năm nay rồi,Sadness
phải đối xử tốt với chính bản thân mình :),Enjoyment
"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",Sadness
"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?",Anger
tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁,Enjoyment
động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :),Other
mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh,Sadness
sản phẩm khá là mới lạ trong việt nam,Surprise
"chuẩn rồi . nhiều khi mệt muốn xỉu , xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại 😂😂😂 đồng nghiệp quan trọng thật sự",Enjoyment
ai trèo lên đưa cho ảnh cái áo mưa đi kẻo ướt ảnh đó,Other
