Sentence,Emotion
trời ơi chắc lại gặp năm hạn 49 rồi xin chia buồn cùng gia đình,Sadness
nam mô a di đà phật cầu cho linh hồn của những nạn nhân sớm được siêu thoát khổ nhất người con ở lại khi nghe được tin sét đánh ngang tai này 😭😭😭,Sadness
sợ cái tuổi 49 53 nhà tôi 2 ông anh cũng mất đúng cái tuổi 49,Fear
nghiệt ngã quá,Sadness
thật sự đau lòng quá,Sadness
tuổi 49 chết nhiều khổ thế,Sadness
sợ quá 3 mạng người thế này,Fear
trời ơi đau lòng quá mất thôi cầu xin trời phật phù hộ cho họ được siêu thoát nam mô a di đà phật 🙏🙏🙏,Sadness
ui đã man thế là cả gia đình và em không còn ai khổ thân người ở lại quá,Sadness
ải 49 hơi căng nhỉ anh em có kế sách gì để qua ải chưa,Fear
người con bên nhật nhận được cuộc gọi sốc lắm luôn 😢,Sadness
hạn 49 sợ quá 🥺,Fear
nam mô a di đà phật nam mô a di đà phật nam mô a di đà phật cầu mong cho người mất được siêu sinh tịnh độ an lạc cõi phật người đưa đi cấp cứu thì được tai qua nạn khỏi,Sadness
trời sao đau lòng vậy thương quá,Sadness
nỗi đau của người ở lại nó khủng khiếp lắm,Sadness
thương quá 😭,Sadness
lại thấy giống vụ ở bắc giang nhỉ cũng mất em gái với bố mẹ :(,Sadness
khổ quá 😭,Sadness
ngứa mắt thật,Anger
:)))) thua cả mèo :))),Sadness
tôi thua cả meo meo,Sadness
tôi thấy tôi thua cả mèo,Sadness
hết thua chó xong giờ tới thua mèo luôn kìa ><,Sadness
đúng là thua cả mèo 🤣🤣🤣,Enjoyment
nhìn mà ghê gớm,Disgust
tôi chịu thua với mèo rồi,Sadness
đá lưỡi suốt cơ mà cay thật ấy,Anger
ôi vãi cả mèo,Surprise
mèo thắng đời 10 ~~,Enjoyment
grừ chúng mày hạnh phúc thế,Disgust
coi coi kìa 🙂🫠,Disgust
tiên sư chúng mày hạnh phúc thế,Disgust
hạnh phúc quá nhỉ,Disgust
tiên sư bọn yêu nhau,Disgust
bé này dễ thương chứ,Enjoyment
ê nha ê nha 🗿🗿 thấy hơi quá rồi nha 🗿🗿,Anger
không bằng mèo,Sadness
nhìn 2 con boss mà ghen tị ghê á 🤣🤣🤣,Enjoyment
nè :3 giống anh chứ,Enjoyment
đầu thai qua làm mèo thôi :)),Enjoyment
coi mà cay éo chịu được 🥴,Anger
mèo lương =)),Enjoyment
nhìn ứa gan thiệt chứ 🙄,Anger
ngứa mắt lắm rồi đó,Anger
hahhaa cay dữ trời,Enjoyment
tôi là tôi thịt mẹ cho rồi ngứa mắt ghê,Anger
cặp đôi chuyển sinh vào loài mèo :))),Enjoyment
đá lưỡi không trệch phát nào :))),Enjoyment
ngứa mắt ghê không coi chồng người ta kìa,Anger
thì ra đây là cơm mèo trong truyền thuyết :)),Surprise
hình phạt cho những đứa vừa ăn cơm vừa lướt facebook hết ăn cơm chó giờ tới ăn cơm mèo để tôi coi tụi bây hạnh phúc được bao lâu chứ 🥹😤,Anger
giờ có cả cẩu mèo :((,Sadness
mày thấy không tệ hơn cả mèo,Sadness
nghe nói chị thích mèo 🤣,Enjoyment
mặc cô vợ có đôi lúc đỏng đảnh đôi lúc khó chiều anh vẫn cứ yêu cưng xỉu à,Enjoyment
lẽ nào đây là cơm chó mèo 🙄,Surprise
thua con mèo 🤧,Sadness
thua cả mèo là có thật,Sadness
tôi thấy mày cũng phải thấy :)),Enjoyment
không phải lo cơm áo gạo tiền thì thằng chó nào chả tình =)),Disgust
mão lương chứ 😌,Sadness
ghen tị thiệt chứ 😝,Enjoyment
dễ thương quá 🥹,Enjoyment
nguyên bầy meo meo luôn 🐱🐱,Enjoyment
thua mèo 10 :),Sadness
tôi cá là nhiều người độc thân trong này đang ngứa mắt lắm 😂,Enjoyment
rồi tôi thua mèo rồi đó 🥹,Sadness
kiểu này đẻ hoài á trời 🤭,Enjoyment
cho đi làm lẩu mèo hết cả lũ chứ,Anger
ghen tị đang trỗi dậy rồi 😆,Enjoyment
này gọi là “phát mão lương” chứ không phải cẩu lương nữa 🤣,Enjoyment
thua cả mèo là có thật,Sadness
tôi thấy thì chúng mày cũng phải thấy =))),Enjoyment
thôi đừng phát cơm mèo nữa,Anger
trông có ghét không cơ chứ,Enjoyment
ối giời yêu quá,Surprise
cơm mèo không :)),Enjoyment
không bằng meo meo luôn,Sadness
trời mẹ,Surprise
trước giờ có cơm quá giờ có cả phở mèo ư 😅,Enjoyment
