Sentence,Emotion,Tokenized_Sentence
"xong vài tháng sau thằng bạn chung lớp chửi mình chảnh , bố đời .",Disgust,"['xong', 'vài', 'tháng', 'sau', 'thằng', 'bạn', 'chung', 'lớp', 'chửi', 'mình', 'chảnh', 'bố đời']"
sao có mình anh lên cân vậy,Surprise,"['sao', 'mình', 'anh', 'lên', 'cân']"
rồi lỡ ai có bầu mà đi qua không biết nhảy kiểu gì nữa cười_chảy_nước_mắt,Enjoyment,"['lỡ', 'ai', 'bầu', 'qua', 'không', 'biết', 'nhảy', 'kiểu', 'gì', 'cười_chảy_nước_mắt']"
có tay mà người bị cụt tay . không bao giờ sử dụng bàn tay đó . ngu trở lên nổi tiếng .,Disgust,"['tay', 'người', 'cụt', 'tay', 'không', 'bao giờ', 'sử dụng', 'bàn tay', 'ngu', 'trở', 'lên', 'nổi tiếng']"
mạnh vỗ tay vỗ_tay,Enjoyment,"['mạnh', 'vỗ tay', 'vỗ_tay']"
bán từ năm nào,Other,"['bán', 'từ', 'năm', 'nào']"
thì đúng là sẽ không buồn vì thất tình nữa buồn,Sadness,"['đúng', 'không', 'buồn', 'thất tình', 'buồn']"
per em đã tìm ra giải pháp thiết kế rồi nhé cười,Enjoyment,"['per', 'em', 'tìm', 'giải pháp', 'thiết kế', 'nhé', 'cười']"
cũng được nhưng cuối video nhai nhỏ tiếng hơn thì tốt . :,Disgust,"['cũng', 'nhưng', 'cuối', 'video', 'nhai', 'nhỏ', 'tiếng', 'hơn', 'tốt']"
phìm này rất rất hay đôi với ai sống hướng nội !,Enjoyment,"['phìm', 'hay', 'đôi', 'ai', 'sống', 'hướng', 'nội', '!']"
per con nghĩ cậu nên thử,Other,"['per', 'con', 'nghĩ', 'cậu', 'thử']"
như cặc vậy,Anger,['cặc']
thôi mày cố lên . đỡ rồi cũng tốt,Enjoyment,"['mày', 'cố', 'lên', 'đỡ', 'cũng', 'tốt']"
"tao cảnh cáo , page mà đăng mấy video kiểu ngôn lù thế này tao unlike , trả per trả cụ lầy , trả anh thai cho tao",Anger,"['tao', 'cảnh cáo', 'page', 'đăng', 'mấy', 'video', 'kiểu ngôn lù', 'thế này', 'tao', 'unlike', 'trả', 'per', 'trả', 'cụ', 'lầy', 'trả', 'anh', 'thai', 'tao']"
per nhìn mặt hài vler cười,Enjoyment,"['per', 'nhìn', 'mặt', 'hài vler', 'cười']"
đã sợ rồi . cố gắng hí mắt để xa ra để coi như thế nào . khúc cuối hết hồn dục luôn cái điện thoại cười,Fear,"['sợ', 'cố gắng', 'hí mắt', 'để', 'xa', 'để', 'coi', 'như thế nào', 'khúc', 'cuối', 'hết', 'hồn dục', 'luôn', 'cái', 'điện thoại', 'cười']"
chộm chó đâu làm ăn như céc lúc cần thì chả thấy đâu,Disgust,"['chộm', 'chó', 'đâu', 'làm ăn', 'céc', 'lúc', 'cần', 'chả', 'thấy', 'đâu']"
"per cần thêm những trái dâu xinh xắn để ngăn chặn sự u ám này , huhu",Sadness,"['per', 'cần', 'thêm', 'trái', 'dâu', 'xinh xắn', 'để', 'ngăn chặn', 'sự', 'u ám', 'huhu']"
tôi rất căng mông,Other,"['tôi', 'căng', 'mông']"
bos mắc bệnh nghiện vợ cười_lăn_lộn_trên_sàn khóc_nức_nở,Enjoyment,"['bos', 'mắc', 'bệnh', 'nghiện', 'vợ', 'cười_lăn_lộn_trên_sàn', 'khóc_nức_nở']"
thịt trâu gác bếp quá lừa rồi thì gỡ là bình thường,Disgust,"['thịt', 'trâu', 'gác', 'bếp', 'lừa', 'gỡ', 'bình thường']"
"ngu và ngang ngược quen rồi , chừa tật nhé",Disgust,"['ngu', 'ngang', 'ngược', 'quen', 'chừa tật', 'nhé']"
nhanh lẹ hiệu quả cao cười_chảy_nước_mắt,Enjoyment,"['nhanh', 'lẹ', 'hiệu quả', 'cao', 'cười_chảy_nước_mắt']"
cãi tay đôi luôn haha,Enjoyment,"['cãi', 'tay', 'đôi', 'luôn', 'haha']"
và đó đéo phải là tao cười,Sadness,"['đéo', 'phải', 'tao', 'cười']"
sao đũy đó có thể mập được vậy nhỉ,Surprise,"['sao', 'đũy', 'có thể', 'mập', 'nhỉ']"
per bao giờ mày mới được nv nhỉ,Other,"['per', 'bao giờ', 'mày', 'mới', 'nv', 'nhỉ']"
chuyện tình huyền thoại của per với per buồn,Sadness,"['chuyện', 'tình', 'huyền thoại', 'per', 'per', 'buồn']"
per kinh nghiệm nha,Enjoyment,"['per', 'kinh nghiệm', 'nha']"
cái dân mê tín ngu si làm giàu cho tiệm vàng,Disgust,"['cái', 'dân', 'mê tín ngu', 'si', 'làm giàu', 'tiệm', 'vàng']"
"con gái ăn nói kiểu gì vậy trời , mình rất ghét con gái nói tục chữi thề",Disgust,"['con', 'gái', 'ăn nói', 'kiểu', 'gì', 'trời', 'mình', 'ghét', 'con', 'gái', 'nói tục', 'chữi', 'thề']"
tôi run thấy bà nội,Fear,"['tôi', 'run', 'thấy', 'bà', 'nội']"
ngọc như ao vãi cả lồn,Surprise,"['ngọc', 'ao', 'vãi', 'cả', 'lồn']"
cẩn thận mày lại có cháu sớm cười_lăn_lộn_trên_sàn,Enjoyment,"['cẩn thận', 'mày', 'cháu', 'sớm', 'cười_lăn_lộn_trên_sàn']"
ai cho mình xin page của con này với thích xem nó live stream bán đồ gê,Enjoyment,"['ai', 'mình', 'xin', 'page', 'con', 'thích', 'xem', 'nó', 'live', 'stream', 'bán', 'đồ', 'gê']"
hãm cười_lớn nhưng thật lòng chứ còn hơn cứ tỏ ra trưởng thành mà bên trong thì như đồ bỏ đi,Disgust,"['hãm', 'cười_lớn', 'nhưng', 'lòng', 'chứ', 'còn', 'hơn', 'cứ', 'tỏ', 'trưởng thành', 'bên', 'đồ', 'bỏ']"
"t xem cái này từ lâu lâu lâu rồi cơ , đéo bất ngờ gì cạ bối_rối",Other,"['t', 'xem', 'cái', 'từ', 'lâu lâu lâu', 'cơ', 'đéo', 'bất ngờ', 'gì', 'cạ', 'bối_rối']"
nước biển sao đục quá nhỉ,Other,"['nước biển', 'sao', 'đục', 'nhỉ']"
nhà tôi mà có đôi như này chắc xào sả ớt rồi,Anger,"['nhà', 'tôi', 'đôi', 'chắc', 'xào', 'sả', 'ớt']"
per bit cái nay không . hihi,Enjoyment,"['per', 'bit', 'cái', 'nay', 'không', 'hihi']"
tao là thằng chưa bao giờ giận người yêu vì người yêu tao không bao giờ làm gì có lỗi hết,Enjoyment,"['tao', 'thằng', 'chưa', 'bao giờ', 'giận', 'người yêu', 'người yêu', 'tao', 'không', 'bao giờ', 'làm gì', 'lỗi', 'hết']"
có cái ảnh tỉ năm trước cứ đăng đăng con cặc . đéo thấy nhàm à . nghĩ thôi thấy bất hạnh vãi .,Anger,"['cái', 'ảnh', 'tỉ', 'năm', 'trước', 'cứ', 'đăng đăng', 'con', 'cặc', 'đéo', 'thấy', 'nhàm', 'à', 'nghĩ', 'thấy', 'bất hạnh', 'vãi']"
tôi từ 51 đến 60 kg bé này 47 đến 5 kg,Other,"['tôi', 'từ', '51', '60', 'kg', 'bé', '47', '5', 'kg']"
hài bựa nó vẫn hay hơn bọn cố tỏ ra chảnh trong khi như cười_lớn cười,Disgust,"['hài bựa', 'nó', 'vẫn', 'hay', 'hơn', 'bọn', 'cố', 'tỏ', 'chảnh', 'cười_lớn', 'cười']"
"nói dân trí thấp lại tự ái , hỏi nhiều hỏng nhiệm vụ nó lại quy tội chống người thi hành công vụ thì ăn lồn",Disgust,"['nói', 'dân trí', 'thấp', 'tự ái', 'hỏi', 'nhiều', 'hỏng', 'nhiệm vụ', 'nó', 'quy tội', 'chống', 'người', 'thi hành', 'công vụ', 'ăn', 'lồn']"
mà ô chủ xe cũng ngu vãi . mất công đậu thì đậu hẳn ra giữa đường day . để cho nó đỡ mất công về lại phải mất công đi đại tu,Disgust,"['ô', 'chủ', 'xe', 'cũng', 'ngu vãi', 'mất công đậu', 'đậu', 'hẳn', 'giữa', 'đường', 'day', 'để', 'nó', 'đỡ', 'mất công', 'về', 'phải', 'mất công', 'đại tu']"
tụi nhỏ dễ thương quá,Enjoyment,"['tụi', 'nhỏ', 'dễ thương']"
cứ thải trực tiếp ra sông thì có xử lý công nghệ mặt trăng cũng bó tay,Disgust,"['cứ', 'thải', 'trực tiếp', 'sông', 'xử lý', 'công nghệ', 'mặt trăng', 'cũng', 'bó tay']"
thế cây này có được gọi là cây tình yêu không ?,Other,"['thế', 'cây', 'gọi là', 'cây', 'tình yêu', 'không', '?']"
rất thuyết phục,Enjoyment,['thuyết phục']
đó là mày chưa nhận ra việc mày yêu tiền như thế nào và muốn kiếm tiền nhiều bao nhiêu ?,Other,"['mày', 'chưa', 'nhận', 'việc', 'mày', 'yêu', 'tiền', 'như thế nào', 'muốn', 'kiếm', 'tiền', 'nhiều', 'bao nhiêu', '?']"
"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",Sadness,"['chủ động', 'nói chuyện', 'nhắn tin', 'time', 'nhưng', 'đời', 'không', 'mơ']"
đó cũng là cái cốt lõi cái then chốt thúc đẩy ông phát tiển sách lược của mình bằng cái tâm và cái tầm .,Other,"['cũng', 'cái', 'cốt lõi', 'cái', 'then chốt', 'thúc đẩy', 'ông', 'phát', 'tiển', 'sách lược', 'mình', 'bằng', 'cái', 'tâm', 'cái', 'tầm']"
kinh tởm,Disgust,"['kinh', 'tởm']"
nồi cơm điện chứ gì .,Other,"['nồi', 'cơm điện', 'chứ', 'gì']"
cũng thơm mà . kì thị quá à .,Enjoyment,"['cũng', 'thơm', 'kì thị', 'à']"
sợ nhất vợ tao chất vấn thôi tốt nhất lúc đầu nên từ chối chứ để làm rồi về hỏi thì không đường nào chối cãi hãi vãi,Fear,"['sợ', 'nhất', 'vợ', 'tao', 'chất vấn', 'tốt', 'nhất', 'lúc', 'đầu', 'từ chối', 'chứ', 'để', 'làm', 'về', 'hỏi', 'không', 'đường', 'nào', 'chối cãi', 'hãi', 'vãi']"
mới đây mẹ tao giúp tao làm lại giấy khai sinh . mẹ có hỏi mày sinh ngày mấy để mẹ làm vô_cảm,Sadness,"['mới đây', 'mẹ', 'tao', 'giúp', 'tao', 'làm', 'giấy', 'khai sinh', 'mẹ', 'hỏi', 'mày', 'sinh', 'ngày', 'mấy', 'để', 'mẹ', 'làm', 'vô_cảm']"
hay quá,Enjoyment,['hay']
sao giống tôi rứa hỉ .,Surprise,"['sao', 'giống', 'tôi', 'rứa hỉ']"
quãng cáo cũng được đăng à,Surprise,"['quãng cáo', 'cũng', 'đăng', 'à']"
nghe anh ấy nới chuyện rất thuyết phục,Enjoyment,"['nghe', 'anh', 'ấy', 'nới', 'chuyện', 'thuyết phục']"
không biết nói sao . nghiện chuẩn mẹ rồi . crush ợ . mà nó nhẫn tâm lắm hồi trước còn hay cal video . từ hôm tao cạo trọc y như là mất tích luôn . chắc phải để tóc mọc lại tao mới dám gọi . che_miệng,Enjoyment,"['không', 'biết', 'nói', 'sao', 'nghiện', 'chuẩn', 'mẹ', 'crush', 'ợ', 'nó', 'nhẫn tâm', 'lắm', 'hồi', 'trước', 'còn', 'hay', 'cal', 'video', 'từ', 'hôm', 'tao', 'cạo', 'trọc', 'y như', 'mất tích', 'luôn', 'chắc', 'phải', 'để', 'tóc', 'mọc', 'tao', 'mới', 'dám', 'gọi', 'che_miệng']"
chà chà,Surprise,['chà chà']
tao chỉ tag thế thôi mày hiểu thế nào thì hiểu per,Other,"['tao', 'chỉ', 'tag', 'thế', 'mày', 'hiểu', 'thế nào', 'hiểu', 'per']"
đánh cả bố lẫn mẹ nó cho nó chừa,Other,"['đánh', 'cả', 'bố', 'lẫn', 'mẹ', 'nó', 'nó', 'chừa']"
dù sao thì con trai vẫn nên là người mở lời trước à cười_lăn_lộn_trên_sàn,Enjoyment,"['dù sao', 'con', 'trai', 'vẫn', 'người', 'mở', 'lời', 'trước', 'à', 'cười_lăn_lộn_trên_sàn']"
may thằng đó không nghe lời vợ,Other,"['may', 'thằng', 'không', 'nghe', 'lời', 'vợ']"
đảm bảo an sinh xã hội công bằng cho tất cả mọi người đi làm công ăn lương thu nhập đến ngưỡng là phải đóng thuế ngay trong khi có những mảng kinh doanh thu nhập tiền trăm mỗi tháng lại không đóng thuế,Other,"['đảm bảo', 'an sinh', 'xã hội', 'công bằng', 'tất cả', 'mọi', 'người', 'làm công ăn', 'lương', 'thu nhập', 'ngưỡng', 'phải', 'đóng', 'thuế', 'ngay', 'mảng', 'kinh doanh', 'thu nhập', 'tiền', 'trăm', 'mỗi', 'tháng', 'không', 'đóng', 'thuế']"
"hồi trước nghe câu : gái ham tài , trai ham sắc nên cố học hành cho nó ham , ai ngờ giờ mới biết nó ham tài sản chứ không phải tài năng .",Disgust,"['hồi', 'trước', 'nghe', 'câu', 'gái', 'ham tài', 'trai', 'ham sắc', 'cố', 'học hành', 'nó', 'ham', 'ai ngờ', 'giờ', 'mới', 'biết', 'nó', 'ham', 'tài sản', 'chứ', 'không', 'phải', 'tài năng']"
cần xem cái kết của bọn này,Other,"['cần', 'xem', 'cái', 'kết', 'bọn']"
"những người đang buồn ỉa mà càng nhịn , khi bùng phát mới thật sự đáng sợ cười_chảy_nước_mắt",Enjoyment,"['người', 'buồn ỉa', 'càng', 'nhịn', 'bùng phát', 'mới', 'thật sự', 'đáng', 'sợ', 'cười_chảy_nước_mắt']"
ghê vậy,Surprise,['ghê']
"giơ cao đánh khẽ , cảnh cáo cho có lệ",Anger,"['giơ', 'cao', 'đánh khẽ', 'cảnh cáo', 'lệ']"
per haha bữa 3 đứa mới phong trào xong,Other,"['per', 'haha', 'bữa', '3', 'đứa', 'mới', 'phong trào', 'xong']"
rất có tố chất . liên đoàn xe đạp việt nam có thể liên hệ để đào tạo được đấy,Enjoyment,"['tố chất', 'liên đoàn', 'xe đạp', 'việt nam', 'có thể', 'liên hệ', 'để', 'đào tạo', 'đấy']"
"bạn bè nói chuyện cũng chụp post facebok , vui không ?",Disgust,"['bạn bè', 'nói chuyện', 'cũng', 'chụp', 'post', 'facebok', 'vui', 'không', '?']"
"per anh nào nhắn vậy là tao yêuc luôn đéo suy nghĩ , ngọt vãi",Enjoyment,"['per', 'anh', 'nào', 'nhắn', 'tao', 'yêuc', 'luôn', 'đéo', 'suy nghĩ', 'ngọt', 'vãi']"
chưa kịp đặt chân đến chiêm ngưỡng nó .,Sadness,"['chưa', 'kịp', 'đặt chân', 'chiêm ngưỡng', 'nó']"
"thật sự mình rất thích bạn này , xem phim mỗi tập cứ canh đúng cảnh có bạn ý , dễ thương quá hôn_nhẹ hôn_dịu_dàng",Enjoyment,"['thật sự', 'mình', 'thích', 'bạn', 'xem', 'phim', 'mỗi', 'tập', 'cứ', 'canh', 'đúng', 'cảnh', 'bạn ý', 'dễ thương', 'hôn_nhẹ', 'hôn_dịu_dàng']"
thà chia tay rồi ghét hận nhau còn hơn là đang lúc dang dở thì mất nhau mỉm_cười,Sadness,"['thà', 'chia tay', 'ghét', 'hận', 'nhau', 'còn', 'hơn', 'lúc', 'dang dở', 'mất', 'nhau', 'mỉm_cười']"
bài này hay tuyệt vời đấy tim,Enjoyment,"['bài', 'hay', 'tuyệt vời', 'đấy', 'tim']"
cái vị mà ai cũg muốn thử và mỗi người thử lại cảm nhận được một vị riêng,Other,"['cái', 'vị', 'ai', 'cũg', 'muốn', 'thử', 'mỗi', 'người', 'thử', 'cảm nhận', 'vị', 'riêng']"
ngoài những bài chia tay vì lí do vớ vẩn ra thì neu cũng có những bài đăng đọc rồi còn nhớ mãi .,Sadness,"['ngoài', 'bài', 'chia tay', 'lí do', 'vớ', 'vẩn', 'neu', 'cũng', 'bài', 'đăng', 'đọc', 'còn', 'nhớ', 'mãi']"
"tí tuổi đã hói , chắc kiếp trước ăn ở không ra gì đây",Disgust,"['tí', 'tuổi', 'hói', 'chắc kiếp', 'trước', 'ăn ở', 'không', 'gì', 'đây']"
sếp như nào nữa còn sếp tôi thì như lòn,Disgust,"['sếp', 'nào', 'còn', 'sếp', 'tôi', 'lòn']"
về nhà thể hiển nhé chú em,Disgust,"['về', 'nhà thể', 'hiển nhé', 'chú', 'em']"
"thuyết âm mưu . nó đang muốn nhờ vả đấy , không nhờ được thì nó vả",Other,"['thuyết', 'âm mưu', 'nó', 'muốn', 'nhờ vả', 'đấy', 'không', 'nhờ', 'nó', 'vả']"
vcb thu phí dịch vụ cao có khác . lương nv cũng hơn chỗ khác cười,Enjoyment,"['vcb', 'thu', 'phí', 'dịch vụ', 'cao', 'khác', 'lương', 'nv', 'cũng', 'hơn', 'chỗ', 'khác', 'cười']"
không động chạm nó cũng dí sấp mặt luôn rồi . địt_mẹ . hài_lòng,Anger,"['không', 'động', 'chạm', 'nó', 'cũng', 'dí', 'sấp', 'mặt', 'luôn', 'địt_mẹ', 'hài_lòng']"
sau mỗi cuộc chia ly người ở lại vẫn là người đau lòng nhất buồn,Sadness,"['sau', 'mỗi', 'cuộc', 'chia ly', 'người', 'vẫn', 'người', 'đau lòng', 'nhất', 'buồn']"
"per lại nhớ chiều nay , buồn cười sấp mặt luôn . đùa dù mệt nhưng ngày nào tan làm cũng muốn được đèo đưa đi ăn kem , ăn đồ chua , ăn miến trộn như hôm nay cer đùa",Enjoyment,"['per', 'nhớ', 'chiều', 'nay', 'buồn cười', 'sấp mặt', 'luôn', 'đùa', 'dù', 'mệt', 'nhưng', 'ngày', 'nào', 'tan', 'làm', 'cũng', 'muốn', 'đèo', 'đưa', 'ăn kem', 'ăn đồ', 'chua', 'ăn', 'miến trộn', 'hôm nay', 'cer', 'đùa']"
trẻ trâu thời nào cũng có thông cảm đi,Disgust,"['trẻ', 'trâu', 'thời', 'nào', 'cũng', 'thông cảm']"
đường của nhà cụ hay sao mà cụ cấm người ta đỗ . sai đâu đã có pháp luật cụ ích kỷ quá đấy .,Disgust,"['đường', 'nhà cụ', 'hay', 'sao', 'cụ', 'cấm', 'người', 'ta', 'đỗ', 'sai', 'đâu', 'pháp luật', 'cụ ích', 'kỷ', 'đấy']"
đẹp người đẹp cả giấc mơ cười_mỉm,Enjoyment,"['đẹp', 'người', 'đẹp', 'cả', 'giấc', 'mơ', 'cười_mỉm']"
giống nhà mình thế mẹ nhờ,Sadness,"['giống', 'nhà', 'mình', 'thế', 'mẹ', 'nhờ']"
để mình em mập là anh chết chắc hôn_nhẹ,Other,"['để', 'mình', 'em', 'mập', 'anh', 'chết', 'chắc', 'hôn_nhẹ']"
chắc gì tiền sạch,Disgust,"['chắc', 'gì', 'tiền', 'sạch']"
gặp mấy anh việt nam đi nhanh gấp em thề với chị là nhanh gọn đảm bảo chỉ suong,Enjoyment,"['gặp', 'mấy', 'anh', 'việt nam', 'nhanh', 'gấp', 'em', 'thề', 'chị', 'nhanh', 'gọn', 'đảm bảo', 'chỉ', 'suong']"
"ỏo , nó cười xong kiểu cả không gian ngập nắng , thế giới thu bé lại chỉ có hai đứa , rồi tim cứ đập thình thịch , nghĩ thoi mà cũng thích , hì :",Enjoyment,"['ỏo', 'nó', 'cười', 'xong', 'kiểu', 'cả', 'không gian', 'ngập', 'nắng', 'thế giới', 'thu', 'bé', 'chỉ', 'hai', 'đứa', 'tim', 'cứ', 'đập', 'thình thịch', 'nghĩ', 'thoi', 'cũng', 'thích', 'hì']"
má . đang định đi chụp buồn,Fear,"['má', 'định', 'chụp', 'buồn']"
"quỳ vậy thôi có gì mà phạt giáo viên nhỉ , riết phụ huynh giờ thấy làm quá đáng thiệt",Disgust,"['quỳ', 'gì', 'phạt', 'giáo viên', 'nhỉ', 'riết', 'phụ huynh', 'giờ', 'thấy', 'làm', 'đáng', 'thiệt']"
thằng chồng bất tài,Anger,"['thằng', 'chồng', 'bất tài']"
az dễ_thương mặt cưng xĩu,Enjoyment,"['az', 'dễ_thương', 'mặt', 'cưng', 'xĩu']"
per không cho anh đi tập đâu nha mất bồ như chơi,Fear,"['per', 'không', 'anh', 'tập', 'đâu', 'nha', 'mất bồ', 'như chơi']"
chúc bạn thành công 3,Enjoyment,"['chúc', 'bạn', 'thành công', '3']"
thịt trâu được mổ từ heo nuôi cám cp thì chả gỡ gấp hải đớp ti vi với huấn hoa héo nó chả khôn quá,Anger,"['thịt', 'trâu', 'mổ', 'từ', 'heo', 'nuôi', 'cám', 'cp', 'chả', 'gỡ', 'gấp', 'hải đớp', 'ti vi', 'huấn', 'hoa', 'héo', 'nó', 'chả khôn']"
chúng mày cứ ra phim bom tấn cho nhiều vào,Other,"['chúng mày', 'cứ', 'phim', 'bom', 'tấn', 'nhiều', 'vào']"
