Sentence,Emotion,Tokenized_Sentence,tokens_length
"ủa tao tưởng trái bòn bon chứ ,",Surprise,"['ủa', 'tao', 'tưởng', 'trái', 'bòn bon', 'chứ']",6
"mình thấy cũng bình thường suy_nghĩ người_yêu mình ủ hũ mắm tôm , mắm tép nếu tiếp tục không rửa chắc hơn 30 năm nữa là đạt kỉ lục thế giới ủ mắm tôm 60 năm mất",Disgust,"['mình', 'thấy', 'cũng', 'bình thường', 'suy_nghĩ', 'người_yêu', 'mình', 'ủ', 'hũ', 'mắm tôm', 'mắm tép', 'nếu', 'tiếp tục', 'không', 'rửa', 'chắc', 'hơn', '30', 'năm', 'đạt', 'kỉ lục', 'thế giới', 'ủ', 'mắm tôm', '60', 'năm', 'mất']",27
là tôi đó đó,Enjoyment,['tôi'],1
"chắc lại thấy tự hào , tưởng thế mà hay",Disgust,"['chắc', 'thấy', 'tự hào', 'tưởng', 'thế mà', 'hay']",6
giống hệt mèo nhà mình không bao giờ kêu hay lao vào mâm chỉ ngồi nhìn thôi,Other,"['giống hệt', 'mèo', 'nhà', 'mình', 'không', 'bao giờ', 'kêu', 'hay', 'lao', 'vào', 'mâm', 'chỉ', 'ngồi', 'nhìn']",14
cuối cùng per cũng thành công rồi nha per nha,Enjoyment,"['cuối cùng', 'per', 'cũng', 'thành công', 'nha', 'per', 'nha']",7
dịch em với chồng ơi trầm_ngâm,Other,"['dịch', 'em', 'chồng', 'ơi', 'trầm_ngâm']",5
"xem phim mà cứ nhìn cặp chân của ổng , chân gì mà dài thường thượt . chồi ôi 1 m87",Enjoyment,"['xem', 'phim', 'cứ', 'nhìn', 'cặp', 'chân', 'ổng', 'chân', 'gì', 'dài', 'thường', 'thượt', 'chồi', 'ôi', '1', 'm87']",16
đây là hội à mày ? làm tao phải lên g tra sao lại đông người thế cười,Surprise,"['đây', 'hội', 'à', 'mày', '?', 'làm', 'tao', 'phải', 'lên', 'g tra', 'sao', 'đông', 'người', 'thế', 'cười']",15
ui cưng quá,Enjoyment,"['ui', 'cưng']",2
lại đến giờ giải trí rồi mềnh ơi per cười,Enjoyment,"['giờ', 'giải trí', 'mềnh', 'ơi', 'per', 'cười']",6
"có rồi mà , nghén rồi nè hihi",Enjoyment,"['nghén', 'nè', 'hihi']",3
"bạn bè nói chuyện cũng chụp post facebok , vui không ?",Disgust,"['bạn bè', 'nói chuyện', 'cũng', 'chụp', 'post', 'facebok', 'vui', 'không', '?']",9
phần còn lại là nỗi nhớ và những lần thở dài buồn,Sadness,"['phần', 'còn', 'nỗi', 'nhớ', 'lần', 'thở dài', 'buồn']",7
con gái thật lòng nhất khi con trai không có gì . con trai thật lòng nhất khi anh ta có tất cả mọi thứ . cuộc sống mà mỉa_mai có chắc mình thấy gái xinh là không tớn lên không mà đòi con người ta không mê tiền . phát biểu nghe thực dụng vãi,Disgust,"['con', 'gái', 'lòng', 'nhất', 'con', 'trai', 'không', 'gì', 'con', 'trai', 'lòng', 'nhất', 'anh', 'ta', 'tất cả', 'mọi', 'thứ', 'cuộc sống', 'mỉa_mai', 'chắc', 'mình', 'thấy', 'gái', 'xinh', 'không', 'tớn', 'lên', 'không', 'đòi', 'con người', 'ta', 'không', 'mê', 'tiền', 'phát biểu', 'nghe', 'thực dụng', 'vãi']",38
cười ị đùa,Enjoyment,"['cười', 'ị đùa']",2
per mang võng ra không lại tủi không thể ngồi,Other,"['per', 'mang', 'võng', 'không', 'tủi', 'không thể', 'ngồi']",7
chúc bạn thành công 3,Enjoyment,"['chúc', 'bạn', 'thành công', '3']",4
vậy sao chồng tôi vẫn bình thường nhở không thấy béo lên tí nào ta,Surprise,"['sao', 'chồng', 'tôi', 'vẫn', 'bình thường nhở', 'không', 'thấy', 'béo', 'lên', 'tí', 'nào', 'ta']",12
tình yêu không bao giờ là mãi mãi . rồi cây cũng chết héo mà thôi khà khà,Enjoyment,"['tình yêu', 'không', 'bao giờ', 'mãi mãi', 'cây', 'cũng', 'chết', 'héo', 'thôi khà', 'khà']",10
quan trọng là có per luôn tạo độ khó game cho tôi cười và không thể thiếu sự trợ giúp của các anh em trong team cười_chảy_nước_mắt,Enjoyment,"['quan trọng', 'per', 'luôn', 'tạo độ', 'khó', 'game', 'tôi', 'cười', 'không thể', 'thiếu', 'sự', 'trợ giúp', 'anh em', 'team', 'cười_chảy_nước_mắt']",15
phải tự cho mình đau lòng nhất thì mới bỏ được,Sadness,"['phải', 'tự', 'mình', 'đau lòng', 'nhất', 'mới', 'bỏ']",7
hiểu lầm chút chút,Other,"['hiểu', 'lầm chút', 'chút']",3
kéo nhau ra tòa ly hôn tự nhiên béo ngành thuế,Disgust,"['kéo', 'nhau', 'tòa', 'ly hôn', 'tự nhiên', 'béo', 'ngành', 'thuế']",8
mới lạ gắn với thực tiễn hy vọng trường sớm phát triển,Enjoyment,"['mới lạ', 'gắn', 'thực tiễn', 'hy vọng', 'trường', 'sớm', 'phát triển']",7
nghe có trà sữa là thích rồi,Enjoyment,"['nghe', 'trà', 'sữa', 'thích']",4
chời má . ngọt chết tao rồi cười,Enjoyment,"['chời', 'má', 'ngọt', 'chết', 'tao', 'cười']",6
chúc mừng em và chúc em học tập tốt ngành học đã chọn ! niềm tự hào của tây bắc !,Enjoyment,"['chúc mừng', 'em', 'chúc', 'em', 'học tập', 'tốt', 'ngành', 'học', 'chọn', '! niềm', 'tự hào', 'tây bắc', '!']",13
kiểu lâu lâu cũng không được nhắn tin cho ai như thế nên cũng muốn tình cảm xíu cười biết đâu,Enjoyment,"['kiểu', 'lâu lâu', 'cũng', 'không', 'nhắn tin', 'ai', 'như thế', 'cũng', 'muốn', 'tình cảm xíu', 'cười', 'biết đâu']",12
địt_mẹ nhà bà . con gái người ta nuôi lớn không báo đáp được gì đã về làm dâu nhà bà . nó lấy chồng chứ có làm giúp việc cho nhà bà đâu mà hành hạ nó thế .,Anger,"['địt_mẹ', 'nhà', 'bà', 'con', 'gái', 'người', 'ta', 'nuôi', 'lớn', 'không', 'báo', 'đáp', 'gì', 'về', 'làm', 'dâu', 'nhà', 'bà', 'nó', 'lấy', 'chồng', 'chứ', 'làm', 'giúp việc', 'nhà', 'bà', 'đâu', 'hành hạ', 'nó', 'thế']",30
per bây giờ thì không nói nhưng mà cảm giác phủ nhận vai trò bà thảo ngày xưa . vãi_lồn không chị đọc thấy viết khập khiễng quá cười,Disgust,"['per', 'bây giờ', 'không', 'nói', 'nhưng mà', 'cảm giác', 'phủ nhận', 'vai trò', 'bà', 'thảo', 'ngày xưa', 'vãi_lồn', 'không', 'chị', 'đọc', 'thấy', 'viết', 'khập khiễng', 'cười']",19
710 năm chắc đi tù cười_chảy_nước_mắt,Enjoyment,"['710', 'năm', 'chắc', 'tù', 'cười_chảy_nước_mắt']",5
bể nốt cho đủ mâm đang thiếu nè,Disgust,"['bể', 'nốt', 'đủ', 'mâm', 'thiếu', 'nè']",6
đéo mang não . tay lại nhanh hơn não rồi .,Disgust,"['đéo', 'mang', 'não', 'tay', 'nhanh', 'hơn', 'não']",7
độc nhất vô nhị . không,Enjoyment,"['độc nhất vô nhị', 'không']",2
giác quan thứ sáu cộng thêm thứ bảy chủ nhật nữa cười_lăn_lộn_trên_sàn,Enjoyment,"['giác', 'quan', 'thứ sáu', 'cộng', 'thêm', 'thứ bảy', 'chủ nhật', 'cười_lăn_lộn_trên_sàn']",8
"các bạn đừng dạy người giàu đặc biệt đàn ông cách khoan dung và của chồng công vợ . qua bao nhiêu bài tìm hiểu . chị vợ rất thâm ! tuy mình là phụ nữ , nhưng đọc qua nhiều bài mới nể phục anh vũ . và cảm thấy sự khinh bỉ đâu đó dành cho c thảo , dù c tài năng đến đâu nhưng c tham thì thâm mọi người sẽ không bao giờ ủng hộ c .",Disgust,"['bạn', 'đừng', 'dạy', 'người', 'giàu', 'đặc biệt', 'đàn ông', 'cách', 'khoan dung', 'chồng', 'công vợ', 'qua', 'bao nhiêu', 'bài', 'tìm hiểu', 'chị', 'vợ', 'thâm', '!', 'tuy', 'mình', 'phụ nữ', 'nhưng', 'đọc', 'qua', 'nhiều', 'bài', 'mới', 'nể phục', 'anh', 'vũ', 'cảm thấy', 'sự', 'khinh bỉ', 'đâu đó', 'dành', 'c thảo', 'dù', 'c', 'tài năng', 'đâu', 'nhưng', 'c', 'tham', 'thâm', 'mọi', 'người', 'không', 'bao giờ', 'ủng hộ', 'c']",51
so sánh thật vớ vẩn,Anger,"['so sánh', 'vớ', 'vẩn']",3
trên đời vẫn còn nhiều điều tốt đẹp tim,Enjoyment,"['trên', 'đời', 'vẫn', 'còn', 'nhiều', 'điều', 'tốt đẹp', 'tim']",8
diễn viên già vãi chán,Disgust,"['diễn viên', 'già', 'vãi', 'chán']",4
nói gì thì tụi bây cũng không tin đâu . hài_lòng,Sadness,"['nói', 'gì', 'tụi', 'bây', 'cũng', 'không', 'tin', 'đâu', 'hài_lòng']",9
chó nhà tui cũng vậy có thai nhưng vẫn ngửa bụng ra đòi vuốtiếc là sinh thất bại nên mất rồi,Sadness,"['chó', 'nhà', 'tui', 'cũng', 'có thai', 'nhưng', 'vẫn', 'ngửa', 'bụng', 'đòi', 'vuốtiếc', 'sinh', 'thất bại', 'mất']",14
má đáng yêuc quá dạy ?,Enjoyment,"['má', 'đáng', 'yêuc', 'dạy', '?']",5
chất liệu đỉnh quá,Surprise,"['chất liệu', 'đỉnh']",2
"ha . ha . ! đúng là có thay đổi lớn ! ngồi nhâm nhi ly cafe , phì phèo điếu thuốc nhìn thiên hạ cũng vui không . !",Enjoyment,"['ha', 'ha', '!', 'đúng', 'thay đổi', 'lớn', '!', 'ngồi', 'nhâm nhi', 'ly cafe', 'phì phèo', 'điếu', 'thuốc', 'nhìn', 'thiên hạ', 'cũng', 'vui', 'không', '!']",19
thông minh hơn nữa là ghi pusy luôn,Other,"['thông minh', 'hơn nữa', 'ghi', 'pusy', 'luôn']",5
chúc hai bạn mãi hạnh phúc yêu_thương,Enjoyment,"['chúc', 'hai', 'bạn', 'mãi', 'hạnh phúc', 'yêu_thương']",6
chúc trump chuyến bay thật may mắn nhớ tới thăm hà nội nhé xin chào,Enjoyment,"['chúc', 'trump', 'chuyến', 'bay', 'may mắn', 'nhớ', 'tới', 'thăm', 'hà nội', 'nhé', 'xin', 'chào']",12
mình cũng có con mèo đực nuôi được 1 năm thì nó biệt tích 1 năm sau nó về rồi 1 năm sau thì nó mất . buồn,Sadness,"['mình', 'cũng', 'con', 'mèo', 'đực', 'nuôi', '1', 'năm', 'nó', 'biệt tích', '1', 'năm', 'sau', 'nó', 'về', '1', 'năm', 'sau', 'nó', 'mất', 'buồn']",21
siêu phẩm để đời .,Enjoyment,"['siêu phẩm', 'để', 'đời']",3
định mệnh gớm vãi nôn_mửa,Disgust,"['định', 'mệnh gớm', 'vãi', 'nôn_mửa']",4
đã sợ rồi . cố gắng hí mắt để xa ra để coi như thế nào . khúc cuối hết hồn dục luôn cái điện thoại cười,Fear,"['sợ', 'cố gắng', 'hí mắt', 'để', 'xa', 'để', 'coi', 'như thế nào', 'khúc', 'cuối', 'hết', 'hồn dục', 'luôn', 'cái', 'điện thoại', 'cười']",16
bạn trai thì chưa . nhưng mỗi lần thằng bạn nó cắt tóc cạo râu thì auto nhìn đẹp trai,Enjoyment,"['bạn', 'trai', 'chưa', 'nhưng', 'mỗi', 'lần', 'thằng', 'bạn', 'nó', 'cắt', 'tóc', 'cạo', 'râu', 'auto', 'nhìn', 'đẹp trai']",16
một cái ỉn mông xong hết cười_chảy_nước_mắt dăm ba cái võ thuật cười_chảy_nước_mắt cười_lăn_lộn_trên_sàn,Enjoyment,"['cái', 'ỉn', 'mông', 'xong', 'hết', 'cười_chảy_nước_mắt', 'dăm ba', 'cái', 'võ thuật', 'cười_chảy_nước_mắt', 'cười_lăn_lộn_trên_sàn']",11
crush mới thích ảnh tao mà tao đã . nghĩ đến chuyện đặt tên con rồi,Enjoyment,"['crush', 'mới', 'thích', 'ảnh', 'tao', 'tao', 'nghĩ', 'chuyện', 'đặt', 'tên', 'con']",11
vâng với 1 pha chống gậy tinh tế anh đã làm cho người xem 1 sự bất ngờ,Surprise,"['vâng', '1', 'pha', 'chống', 'gậy', 'tinh tế', 'anh', 'làm', 'người', 'xem', '1', 'sự', 'bất ngờ']",13
nay buồn buồn,Sadness,"['nay', 'buồn buồn']",2
cần lắm những sẻ chia . cần lắm những thấu hiểu,Sadness,"['cần', 'lắm', 'sẻ chia', 'cần', 'lắm', 'thấu hiểu']",6
"đếu thể đỡ được tiền mừng , tiền mừng hahaha",Enjoyment,"['đếu thể', 'đỡ', 'tiền mừng', 'tiền', 'mừng', 'hahaha']",6
mưa lắm các con giời ở nhà ngủ cho khỏe nhé .,Other,"['mưa', 'lắm', 'con', 'giời', 'nhà', 'ngủ', 'khỏe', 'nhé']",8
kinh dị v,Fear,"['kinh dị', 'v']",2
trồi ôi bài hát đỉnh cao,Enjoyment,"['trồi', 'ôi', 'bài', 'hát', 'đỉnh cao']",5
chia buồn cùng gia đình mong anh chị và cháu sớm siêu thoát nam mô a di đà phật,Sadness,"['chia', 'buồn', 'cùng', 'gia đình', 'mong', 'anh chị', 'cháu', 'sớm', 'siêu thoát', 'nam', 'mô a', 'di đà', 'phật']",13
vui tính quá ? vừa kết bạn xong ?,Enjoyment,"['vui', 'tính', '?', 'vừa', 'kết bạn', 'xong', '?']",7
và đương nhiên sẽ có ngày cô ấy sốc vì giới tính thật của cô ấy !,Sadness,"['đương nhiên', 'ngày', 'cô', 'ấy', 'sốc', 'giới tính', 'cô', 'ấy', '!']",9
dở thật,Disgust,['dở'],1
thương tâm quá,Sadness,['thương tâm'],1
bếp dầu hỏa chứ cái gì,Other,"['bếp', 'dầu', 'hỏa', 'chứ', 'cái', 'gì']",6
"các bạn xem phim cậu bé đặc biệt , luôn nhé . phim có diển viên này tham gia nói về cách giáo dục con cái cực hay . chúc các bạn xem phim vui vẻ",Enjoyment,"['bạn', 'xem', 'phim', 'cậu', 'bé', 'đặc biệt', 'luôn', 'nhé', 'phim', 'diển viên', 'tham gia', 'nói', 'về', 'cách', 'giáo dục', 'con cái', 'cực', 'hay', 'chúc', 'bạn', 'xem', 'phim', 'vui vẻ']",23
chắc học từ bỏ quá,Sadness,"['chắc', 'học', 'từ bỏ']",3
simple lại bình thường dễ mà miễn là bạn có được tư duy tích cực toàn diện thấy nghe nói biết thấy biết hiểu rõ con người tư duy thông thường tư duy thông minh tư duy siêu việt cũng đơn giản lại bình thường như ăn kẹo kéo thôi mà có gì khó đâu nhỉ cảm ơn 369 0 3 6 0 phá quân i have no idea vietnamese am i can speak english thanks i have no clue vietnamese because i love vietnams,Other,"['simple', 'bình thường', 'dễ', 'miễn là', 'bạn', 'tư duy', 'tích cực', 'toàn diện', 'thấy', 'nghe', 'nói', 'biết', 'thấy', 'biết', 'hiểu', 'rõ', 'con người', 'tư duy', 'thông thường', 'tư duy', 'thông minh', 'tư duy', 'siêu việt', 'cũng', 'đơn giản', 'bình thường', 'ăn kẹo', 'kéo', 'gì', 'khó', 'đâu', 'nhỉ', 'cảm ơn', '369', '0', '3', '6', '0', 'phá', 'quân', 'i', 'have', 'no', 'idea', 'vietnamese', 'am i', 'can', 'speak', 'english', 'thanks', 'i', 'have', 'no', 'clue', 'vietnamese', 'because', 'i', 'love', 'vietnams']",59
tử vong chứ sao không lúc mới còn thở không ai chịu đưa đi cấp cứu dùm đứng quay video sao không tử vong được,Other,"['tử vong', 'chứ', 'sao', 'không', 'lúc', 'mới', 'còn', 'thở', 'không', 'ai', 'chịu', 'đưa', 'cấp cứu', 'dùm', 'đứng', 'quay', 'video', 'sao', 'không', 'tử vong']",20
"nghe được đó , ảnh hưởng tới môi trường là phải cấm",Other,"['nghe', 'ảnh hưởng', 'tới', 'môi trường', 'phải', 'cấm']",6
14 2 năm ngoái tao mọc sừng . nên 14 2 năm nay tao quyết định cưa sừng cười_mỉm,Enjoyment,"['14', '2', 'năm ngoái', 'tao', 'mọc', 'sừng', '14', '2', 'năm', 'nay', 'tao', 'quyết định', 'cưa', 'sừng cười_mỉm']",14
mình thì bị mất hút tiền viện phí bảo hiểm y tế cười_chảy_nước_mắt,Enjoyment,"['mình', 'mất hút', 'tiền', 'viện phí', 'bảo hiểm y tế', 'cười_chảy_nước_mắt']",6
tưởng ai hóa ra anh duong fg,Surprise,"['tưởng', 'ai', 'hóa', 'anh', 'duong', 'fg']",6
ám ảnh thật sự,Fear,"['ám ảnh', 'thật sự']",2
nó giống tao ghê . gặp tao tao cũng chọn mày,Enjoyment,"['nó', 'giống', 'tao', 'ghê', 'gặp', 'tao', 'tao', 'cũng', 'chọn', 'mày']",10
tương lai anh kiểu,Other,"['tương lai', 'anh', 'kiểu']",3
thùng bia thì uống được vợ thèm thì không cho ăn,Disgust,"['thùng', 'bia', 'uống', 'vợ', 'thèm', 'không', 'ăn']",7
bộ phim hay nhất từng xem,Enjoyment,"['bộ', 'phim', 'hay', 'nhất', 'từng', 'xem']",6
mặt tôi với bố tôi y hệt nhau thời ông trẻ nhà đông anh em ông là anh cả toàn ăn ít nhịn để cho thầy u và các em được ăn thêm mà cũng cao 1 m7 đi bộ đội thêm được 5 cm là 175 dòng họ chỉ có mình tôi lùn không hiểu sao nữa thằng thấp nhất cũng 1 m83 2 đứa em gái thì 1 m7 chồng tôi 1 m8 sang nhà tôi là lùn đó,Sadness,"['mặt', 'tôi', 'bố', 'tôi', 'y hệt', 'nhau', 'thời', 'ông', 'trẻ', 'nhà', 'đông', 'anh em', 'ông', 'anh cả', 'toàn', 'ăn', 'ít', 'nhịn', 'để', 'thầy u', 'em', 'ăn', 'thêm', 'cũng', 'cao', '1', 'm7', 'bộ đội', 'thêm', '5', 'cm', '175', 'dòng họ', 'chỉ', 'mình', 'tôi', 'lùn', 'không', 'hiểu', 'sao', 'thằng', 'thấp', 'nhất', 'cũng', '1', 'm83', '2', 'đứa', 'em gái', '1', 'm7', 'chồng', 'tôi', '1', 'm8', 'sang', 'nhà', 'tôi', 'lùn']",59
yêu làm mẹ gì rồi phải chia tay người ơi,Sadness,"['yêu', 'làm', 'mẹ', 'gì', 'phải', 'chia tay', 'người', 'ơi']",8
món này ngon vãi,Enjoyment,"['món', 'ngon vãi']",2
hú hồn chim én cười,Fear,"['hú hồn', 'chim', 'én', 'cười']",4
hai đứa tôi ăn như ma đói mà sao ốm nhom vậy ta mặt_nước_mắt_rưng_rưng,Other,"['hai', 'đứa', 'tôi', 'ăn', 'ma', 'đói', 'sao', 'ốm nhom', 'ta', 'mặt_nước_mắt_rưng_rưng']",10
"thôi xong nhá , mấy đứa mà xác định làm răng cả đời thì . tập xác định",Other,"['xong', 'nhá', 'mấy', 'đứa', 'xác định', 'làm', 'răng', 'cả', 'đời', 'tập', 'xác định']",11
đã hói lại còn mắt thâm,Disgust,"['hói', 'còn', 'mắt', 'thâm']",4
cô giáo có tâm vời nghề ghêe,Enjoyment,"['cô giáo', 'tâm vời', 'nghề', 'ghêe']",4
"bọn nó nhỏ mà đã có người yêu , còn tao thì ế buồn",Sadness,"['bọn', 'nó', 'nhỏ', 'người yêu', 'còn', 'tao', 'ế', 'buồn']",8
"moá nó , cười đau hết cả ruột",Enjoyment,"['moá', 'nó', 'cười', 'đau', 'hết', 'cả', 'ruột']",7
ngứa hết cả đít,Anger,"['ngứa', 'hết', 'cả', 'đít']",4
cái loại có não mà không có nhận thức không có tiền đã đành còn không có cả lương tâm,Anger,"['cái', 'loại', 'não', 'không', 'nhận thức', 'không', 'tiền', 'đã đành', 'còn', 'không', 'cả', 'lương tâm']",12
dume sự nghiệp vứt đi đâu,Other,"['dume', 'sự nghiệp', 'vứt', 'đâu']",4
đồng nghiệp của tôi là ai vô_cảm,Disgust,"['đồng nghiệp', 'tôi', 'ai', 'vô_cảm']",4
may thằng đó không nghe lời vợ,Other,"['may', 'thằng', 'không', 'nghe', 'lời', 'vợ']",6
hay qua hoc theo cho vui,Enjoyment,"['hay', 'qua', 'hoc', 'theo', 'vui']",5
"lại là lào cai , tự hào quê mình quá cười",Enjoyment,"['lào cai', 'tự hào', 'quê', 'mình', 'cười']",5
và mày chợt nhận ra người yêu củ của mày có người yêu mới huhu,Sadness,"['mày', 'chợt', 'nhận', 'người yêu', 'củ', 'mày', 'người yêu', 'mới', 'huhu']",9
dume cười muốn chết người ta,Enjoyment,"['dume', 'cười', 'muốn', 'chết', 'người', 'ta']",6
con đô tốc độ đây mà cười_lăn_lộn_trên_sàn,Enjoyment,"['con', 'đô', 'tốc độ', 'đây', 'cười_lăn_lộn_trên_sàn']",5
nhìn mặt ông thầy cay lắm cười,Enjoyment,"['nhìn', 'mặt', 'ông', 'thầy', 'cay', 'lắm', 'cười']",7
tủi hổ với bản thân ghê khi tao vẽ người mà mẹ tao hỏi : hóa ra đây là hình dạng thực của quỷ sao ? vô_cảm,Sadness,"['tủi hổ', 'bản thân', 'ghê', 'tao', 'vẽ', 'người', 'mẹ', 'tao', 'hỏi', 'hóa', 'đây', 'hình dạng', 'thực', 'quỷ', 'sao', '?', 'vô_cảm']",17
ra xong bảo anh ý ship em về nhà luôn được không . xe em bị hỏng mất tiêu rồi cười,Enjoyment,"['xong', 'bảo', 'anh', 'ý', 'ship', 'em', 'về', 'nhà', 'luôn', 'không', 'xe', 'em', 'hỏng', 'mất tiêu', 'cười']",15
nhưng đảm bảo coi cái nào là cười sặc cái đó cười vì nó diễn tệ đến nỗi nó hay,Enjoyment,"['nhưng', 'đảm bảo', 'coi', 'cái', 'nào', 'cười', 'sặc cái', 'cười', 'nó', 'diễn tệ', 'đến nỗi', 'nó', 'hay']",13
per nhìn mặt hài vler cười,Enjoyment,"['per', 'nhìn', 'mặt', 'hài vler', 'cười']",5
đằng này họ nghĩ tao muốn giết người rồi chửi tao bị thần kinh rồi cho trôi qua mọi chuyện,Sadness,"['đằng', 'họ', 'nghĩ', 'tao', 'muốn', 'giết', 'người', 'chửi', 'tao', 'thần kinh', 'trôi', 'qua', 'mọi', 'chuyện']",14
đằng nào mà chẳng thịt chẳng qua sớm hay muộn thôi,Other,"['đằng', 'nào', 'chẳng', 'thịt', 'chẳng qua', 'sớm', 'hay', 'muộn']",8
"mỗi ngày đi làm về , tôi không vội vào thang ngay mà thường ngồi sảnh tầm 20 p chỉ để ngắm gái xinh cùng tòa cười_toe_toét .",Enjoyment,"['mỗi', 'ngày', 'làm', 'về', 'tôi', 'không', 'vội', 'vào', 'thang', 'ngay', 'thường', 'ngồi', 'sảnh', 'tầm', '20', 'p', 'chỉ', 'để', 'ngắm', 'gái', 'xinh', 'cùng', 'tòa', 'cười_toe_toét']",24
thích không,Other,"['thích', 'không']",2
quên mẹ rồi mà lại gọi làm méo gì,Anger,"['quên', 'mẹ', 'mà lại', 'gọi', 'làm', 'méo', 'gì']",7
lâu lắc chưa xem lại ! ngại_ngùng . một bộ phim vừa ý nghĩa vừa hài hước ! tán_thành,Enjoyment,"['lâu', 'lắc', 'chưa', 'xem lại', '! ngại_ngùng', 'bộ', 'phim', 'vừa', 'ý nghĩa', 'vừa', 'hài hước', '!', 'tán_thành']",13
những gì không mua được bằng tiền thì sẽ mua được bằng rất nhiều tiền câu nói này vẫn nguyên giá trị cười_lăn_lộn_trên_sàn,Enjoyment,"['gì', 'không', 'mua', 'bằng', 'tiền', 'mua', 'bằng', 'nhiều', 'tiền', 'câu', 'nói', 'vẫn', 'nguyên', 'giá trị', 'cười_lăn_lộn_trên_sàn']",15
trời ơi,Surprise,"['trời', 'ơi']",2
nhà thằng này không lắp mạng hay sao ý nhỉ,Anger,"['nhà', 'thằng', 'không', 'lắp mạng', 'hay', 'sao ý', 'nhỉ']",7
"per cố gắng lên nha anh , mọi điều tốt đep đang chờ anh tim",Enjoyment,"['per', 'cố gắng', 'lên', 'nha', 'anh', 'mọi', 'điều', 'tốt', 'đep', 'chờ', 'anh', 'tim']",12
nói chuyện yêu thế đma ?,Enjoyment,"['nói chuyện', 'yêu', 'thế', 'đma', '?']",5
mới đây mẹ tao giúp tao làm lại giấy khai sinh . mẹ có hỏi mày sinh ngày mấy để mẹ làm vô_cảm,Sadness,"['mới đây', 'mẹ', 'tao', 'giúp', 'tao', 'làm', 'giấy', 'khai sinh', 'mẹ', 'hỏi', 'mày', 'sinh', 'ngày', 'mấy', 'để', 'mẹ', 'làm', 'vô_cảm']",18
khác gì cười_toe_toét cười_lăn_lộn_trên_sàn,Enjoyment,"['khác', 'gì', 'cười_toe_toét', 'cười_lăn_lộn_trên_sàn']",4
dume cười vãi luôn trời cười,Enjoyment,"['dume', 'cười', 'vãi', 'luôn', 'trời', 'cười']",6
cũng muốn đi xem lắm khóc_nức_nở,Sadness,"['cũng', 'muốn', 'xem', 'lắm', 'khóc_nức_nở']",5
