Sentence,Emotion,Tokenized_Sentence
"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập cười_chảy_nước_mắt",Sadness,"['hồi', 'học', 'lớp', '5', 'bảo', 'bố', 'mua', 'sgk', 'xong', 'bố', 'mua', 'nguyên bộ', 'lớp', '4', 'đầy đủ', 'từ', 'sgk', 'vở', 'bài tập', 'cười_chảy_nước_mắt']"
nay buồn buồn,Sadness,"['nay', 'buồn buồn']"
"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",Fear,"['cv', 'không', 'áp lực', 'môi trường', 'xung quanh', 'mới', 'dễ', 'tạo', 'áp lực']"
ai có link nhạc mấy bài trên không ạ hay vãi ra,Enjoyment,"['ai', 'link nhạc', 'mấy', 'bài', 'trên', 'không', 'ạ', 'hay', 'vãi']"
đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,Other,"['đây', 'người', 'ta', 'gọi là', 'đại thánh nhập', 'hoặc', 'múa', 'lân', 'đầu', 'năm']"
phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,Other,"['phải', 'bồi thường', 'thiệt hại', 'trầy xước', 'thân', 'tàu', 'tiền', 'sơn', 'mấy', 'toa', 'tàu', 'chắc', 'cũng', 'bộn']"
làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,Sadness,"['làm', 'công nhân', 'vắt', 'kiệt sức', 'khỏe', 'thải']"
khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện cười_mỉm,Enjoyment,"['nào', 'phường', 'chế độ', 'phát', 'chồng', 'mang', 'thân', 'đăng kí', 'kết hôn', 'tự nguyện', 'cười_mỉm']"
đéo được tích sự gì cười_chảy_nước_mắt,Anger,"['đéo', 'tích sự', 'gì', 'cười_chảy_nước_mắt']"
haiz . thế là chưa có kq gì tốt đẹp cả .,Sadness,"['haiz', 'thế là', 'chưa', 'kq', 'gì', 'tốt đẹp', 'cả']"
bản thân cố gắng cũng chẳng dễ dàng gì buồn,Sadness,"['bản thân', 'cố gắng', 'cũng', 'chẳng', 'dễ dàng', 'gì', 'buồn']"
"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",Disgust,"['nói chung', '1', 'lũ', 'lừa gạt', 'việt nam', 'mình']"
thế em ăn cơm chưa ?,Other,"['thế', 'em', 'ăn', 'cơm', 'chưa', '?']"
"thu trăm tỷ phạt 5 tr , lại qua tỉnh khác hành nghề ha ha",Other,"['thu', 'trăm', 'tỷ', 'phạt', '5', 'tr', 'qua', 'tỉnh', 'khác', 'hành nghề', 'ha', 'ha']"
chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,Disgust,"['chủ yếu', 'bọn', 'trẻ', 'đú', 'bọn', 'dân trí', 'thấp', 'thích', 'thể hiện', 'bác', 'nhỉ']"
mày coi chừng có ngày tao dã dô mặt mày như dzầy,Anger,"['mày', 'coi chừng', 'ngày', 'tao', 'dã dô', 'mặt mày', 'dzầy']"
canh thời gian đăng đúng vãi !,Surprise,"['canh', 'thời gian', 'đăng', 'đúng', 'vãi', '!']"
quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,Disgust,"['quan trọng', 'mấy', 'thằng', 'chọn', 'mj', 'không', 'ngồi', 'ảo tưởng']"
học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,Sadness,"['học', 'xong', '12', 'hết', 'thanh xuân', 'có lẽ', 'phải', 'bỏ', 'lỡ', '1', 'người']"
mình thi xong còn không khóc được buồn_bã,Sadness,"['mình', 'thi', 'xong', 'còn', 'không', 'khóc', 'buồn_bã']"
"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",Enjoyment,"['mỗi', 'ngày', 'mình', 'ôm', 'nhau', '1', 'cái', 'hén', 'hí', 'hí']"
"per trừ điểm , trừ điểm",Sadness,"['per', 'trừ', 'điểm', 'trừ', 'điểm']"
"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh . thật rẻ rúng làm sao !",Disgust,"['5', 'triệu', 'phạt', 'con', 'mụ', 'lừa đảo', 'phá', 'hủy', 'niềm', 'tin', 'phật giáo', 'làm', 'ô uế', 'đời sống', 'tâm linh', 'rẻ rúng', 'làm sao', '!']"
cả tuần không được nói chuyện,Sadness,"['cả', 'tuần', 'không', 'nói chuyện']"
per mày cẩn thận tao giết,Anger,"['per', 'mày', 'cẩn thận', 'tao', 'giết']"
cạn lời với bọn súc vật này làm xấu mặt người bắc giang vô_cảm,Disgust,"['cạn', 'lời', 'bọn', 'súc vật', 'làm', 'xấu', 'mặt', 'người', 'bắc giang', 'vô_cảm']"
bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm cười,Other,"['bài', 'tao', '2', 'cảm xúc', 'đầu tiên', 'về', 'quán', 'trà', 'cảm xúc', 'quen', 'c', 'thy', 'xong', 'mẹ', 'cấm', 'cười']"
đẹp trai quá,Enjoyment,"['đẹp', 'trai']"
đóng cái lồn tao nè chứ đóng,Anger,"['đóng', 'cái', 'lồn', 'tao', 'nè', 'chứ', 'đóng']"
"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",Sadness,"['khổ thân', 'người dân', 'trước', 'dự án', 'cao su', 'dự án', 'cà phê', 'làm', 'thêm', 'dự án', 'coi', 'đời', 'bỏ', 'phí']"
"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm ái_ngại",Sadness,"['hồi', 'nhỏ', 'bà', 'mày', 'con', 'ngỗng', 'mình', 'tự', 'tay', 'nuôi', 'nó', 'từ', 'ngày', 'nó', 'đeo mày', 'chó', 'mèo', 'nhưng', 'lớn', 'nó', 'mắc', 'bệnh', 'mất', 'giờ', 'cũng', 'hơn', '4', '5', 'năm', 'nhớ', 'nó', 'lắm', 'ái_ngại']"
hồi nhỏ đọc tao đã nghi nghi rồi cười,Enjoyment,"['hồi', 'nhỏ', 'đọc', 'tao', 'nghi nghi', 'cười']"
ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,Disgust,"['ngẫm', 'nghĩ cha', 'thánh gióng', 'sọ', 'dừa', 'ăn', 'mặn vãi']"
"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi bối_rối",Disgust,"['con', 'cần', 'bảo vệ', 'giết', 'sạch', 'còn', 'con', 'cần', 'tiêu diệt', 'đem', 'nuôi', 'cuộc sống', 'lạ lùng', 'vãi', 'bối_rối']"
dù sao thì con trai vẫn nên là người mở lời trước à cười_lăn_lộn_trên_sàn,Enjoyment,"['dù sao', 'con', 'trai', 'vẫn', 'người', 'mở', 'lời', 'trước', 'à', 'cười_lăn_lộn_trên_sàn']"
quản_trị_viên cho hỏi nghệ an lúc nào mưa vậy ah . ốm cũng cam lòng chứ vã lắm rồi nóng_nực,Sadness,"['quản_trị_viên', 'hỏi', 'nghệ an', 'lúc nào', 'mưa', 'ah', 'ốm', 'cũng', 'cam lòng', 'chứ vã', 'lắm', 'nóng_nực']"
giận ngược lại rồi giận luôn chứ có huề đéo đâu buồn,Sadness,"['giận', 'ngược lại', 'giận', 'luôn', 'chứ', 'huề', 'đéo', 'đâu', 'buồn']"
per tao được làm fan cứng giống mày rồi cười_lăn_lộn_trên_sàn,Enjoyment,"['per', 'tao', 'làm', 'fan', 'cứng', 'giống', 'mày', 'cười_lăn_lộn_trên_sàn']"
xem cái này mới biết vốn tiếng anh của mình cũng khá !,Surprise,"['xem', 'cái', 'mới', 'biết', 'vốn', 'tiếng', 'anh', 'mình', 'cũng', 'khá', '!']"
thằng cười_lớn này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,Disgust,"['thằng', 'cười_lớn', 'tao', 'đéo', 'biết', 'nó', 'sống', 'tốt', 'mọi', 'người', 'xung quanh', 'như thế nào', 'nào', 'nhưng', 'nó', 'ngu', 'còn', 'tỏ', 'ngu', 'hẳn']"
ôi bé xinh gái vãi cười,Enjoyment,"['ôi', 'bé', 'xinh gái', 'vãi', 'cười']"
cười sái mẹ quai hàm,Enjoyment,"['cười', 'sái', 'mẹ', 'quai hàm']"
rồi khi mày có 1 ít tiền cười mày mới phát hiện ra còn đéo cả có người đi cùng cơ,Sadness,"['mày', '1', 'ít', 'tiền', 'cười', 'mày', 'mới', 'phát hiện', 'còn', 'đéo', 'cả', 'người', 'cùng', 'cơ']"
tự dưng cay mẹ mắt,Sadness,"['tự dưng', 'cay', 'mẹ', 'mắt']"
tao sợ thật sự buồn,Fear,"['tao', 'sợ', 'thật sự', 'buồn']"
per thịt nướng lò xô ne ăn z mà không chết tự_tin,Enjoyment,"['per', 'thịt', 'nướng', 'lò', 'xô ne', 'ăn z', 'không', 'chết', 'tự_tin']"
tốt quá,Enjoyment,['tốt']
ông nào viết vui tính thế cười cưng thật,Enjoyment,"['ông', 'nào', 'viết', 'vui tính', 'thế', 'cười', 'cưng']"
không hiểu sao nhìu người lại thả haha nhỉ ?,Surprise,"['không', 'hiểu', 'sao', 'nhìu', 'người', 'thả', 'haha', 'nhỉ', '?']"
diễn viên già vãi chán,Disgust,"['diễn viên', 'già', 'vãi', 'chán']"
ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ cười_chảy_nước_mắt,Enjoyment,"['ghét', 'nhất', 'mấy', 'loại', 'bép', 'xép', 'thế', 'nhanh', 'gọn', 'lẹ', 'cười_chảy_nước_mắt']"
cưng quá đi,Enjoyment,['cưng']
nhìn mẫu này lạ mắt mà đẹp quá,Surprise,"['nhìn', 'mẫu', 'lạ mắt', 'đẹp']"
tao cay mẹ khóe mắt,Sadness,"['tao', 'cay', 'mẹ', 'khóe', 'mắt']"
thấy mệt thêm chứ chẳng khỏe gì cả .,Disgust,"['thấy', 'mệt', 'thêm', 'chứ', 'chẳng', 'khỏe', 'gì', 'cả']"
"cười đang ăn mỳ , không có trứng nhạt lắm , có rụng thì xin vài quả !",Enjoyment,"['cười', 'ăn mỳ', 'không', 'trứng', 'nhạt', 'lắm', 'rụng', 'xin', 'vài', 'quả', '!']"
"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh ! hôn",Enjoyment,"['cảm ơn', 'nói chuyện', 'nhật', '!', '1', 'nền', 'khoa học', 'giáo dục', 'trí tuệ', 'văn minh', '! hôn']"
tao mệt chúng mày quá,Disgust,"['tao', 'mệt', 'chúng mày']"
hahaha lúc trước ca làm có 4 chị em vui biết bao cười,Enjoyment,"['hahaha', 'lúc', 'trước', 'ca', 'làm', '4', 'chị em', 'vui', 'biết bao', 'cười']"
đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu mỉa_mai,Disgust,"['đụ', 'thế', 'khác', 'nào', 'mua', 'cái', 'bánh', 'đứa', 'bán', 'hàng', 'nó', 'tạt', 'gáo', 'nước lạnh', 'đâu', 'mỉa_mai']"
các bạn đang bảo con này ah cười_chảy_nước_mắt,Other,"['bạn', 'bảo', 'con', 'ah', 'cười_chảy_nước_mắt']"
má chủ dễ thương vậy tao cũng muốn xin,Enjoyment,"['má', 'chủ', 'dễ thương', 'tao', 'cũng', 'muốn', 'xin']"
kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí tro vào lần sau không phải nấu cười_mỉm,Enjoyment,"['kinh nghiệm', 'truyền', 'nào', 'nấu', 'xong', 'bỏ', 'tí', 'tro', 'vào', 'lần', 'sau', 'không', 'phải', 'nấu', 'cười_mỉm']"
"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",Sadness,"['con người', 'luôn', 'phải', 'chịu', 'đắng cay', 'cta', 'không', 'chọn', 'gia đình', 'bạn bè', 'càng', 'không', 'quyền', 'lựa chọn', 'cuộc sống', 'hãy', 'vui', 'lên', 'tất cả', 'gì', 'ta', 'dù', 'hai bàn tay trắng']"
địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,Anger,"['địt', 'mẹ', 'không', 'cái', 'loại', 'nào', 'nó', 'ác man', 'tàn độc', 'hơn', 'cái', 'loại', 'người', 'xem', 'điên đéo', 'chịu']"
nhìn thương quá . lao động nghiêm túc,Enjoyment,"['nhìn', 'thương', 'lao động', 'nghiêm túc']"
địt_mẹ thực tế như này còn hay . tiếc là đéo ở gần mình cười,Sadness,"['địt_mẹ', 'thực tế', 'còn', 'hay', 'tiếc', 'đéo', 'gần', 'mình', 'cười']"
per mấy trụ kia em không tag được,Other,"['per', 'mấy', 'trụ', 'em', 'không', 'tag']"
nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,Anger,"['nhận', 'nhầm', 'con', 'cặc', 'phải', 'nói', '10', 'thằng', '1', 'thằng', 'nuôi', 'con', 'thằng', 'khác']"
per ơ ơ ơ đây là đâu vậy,Surprise,"['per', 'ơ ơ', 'ơ', 'đây', 'đâu']"
gặm gặm cái đéo ý à . bố gặm luôn mày giờ . !,Anger,"['gặm', 'gặm', 'cái', 'đéo ý', 'à', 'bố', 'gặm', 'luôn', 'mày', 'giờ', '!']"
"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",Disgust,"['thằng', 'nào', 'nói', 'câu', 'thế', 'đừng', 'làm', 'nghề', 'v', 'nếu', 'không', 'người', 'làm', 'nghề', 'ks', 'mở cửa', 'chúng mày', 'vô àk', 'người', 'ăn học', 'ý thức', 'không', 'nói', 'câu']"
không phải là trời không cho mày yêu . vì mày quá ngulon,Disgust,"['không', 'phải', 'trời', 'không', 'mày', 'yêu', 'mày', 'ngulon']"
"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó buồn",Fear,"['per', 'tặng', 'quà cáp', 'gì', 'tặng', 'hộp', 'nhỏ', 'thôi nha', 'hát hò', 'gì', 'đừng', 'đem', 'thùng', 'quà', 'to', 'như vậy', 'nha', 'nó', 'biết', 'nó', 'nhổ', 'trụi', 'lông', 'nó', 'ngắt mép', 'chết', 'buồn']"
hết tiền rồi này,Sadness,"['hết', 'tiền']"
"đẹp , dẽ thương mà",Enjoyment,"['đẹp', 'dẽ thương']"
tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,Anger,"['tử hình', 'con', 'mẹ', 'nó', 'lũ', 'chó', 'má', 'không', 'tính', 'người', 'khổ thân', 'lũ', 'trẻ']"
phim xem hay . nhẹ nhàng tình cảm . và cười vkl,Enjoyment,"['phim', 'xem', 'hay', 'nhẹ nhàng', 'tình cảm', 'cười', 'vkl']"
thế làm sao dỗ bạn gái đang giận buồn,Sadness,"['thế', 'làm sao', 'dỗ', 'bạn', 'gái', 'giận', 'buồn']"
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi cười,Anger,"['t', 'nói', 'tao', 'hiền', 'lắm', 'chứ', 'bà', 'lồn', 'to', 'kia mà', 'gặp', 'tao', 'ăn', 'mấy', 'cái', 'mũ bảo hiểm', 'vào', 'mặt', 'cười']"
loài này bé như ngón tay phàm ăn lắm sợ luôn,Fear,"['loài', 'bé', 'ngón', 'tay', 'phàm', 'ăn', 'lắm', 'sợ', 'luôn']"
"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất .",Disgust,"['phí', 'dịch vụ', 'cao', 'nhất', 'chuyển', 'tiền', 'nội mạng', 'trừ phí', 'tởm', 'nhất', 'thái độ', 'làm việc', 'bố láo', 'nhất', 'ít', 'ưu đãi', 'nhất']"
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,Disgust,"['dume', 'trailer', 'kinh dị', 'lắm', 'vô rạp', 'gặp', 'toàn', 'bọn', 'xàm', 'ngồi', 'cười']"
chẳng đủ dịu dàng để níu bước chân anh,Sadness,"['chẳng', 'đủ', 'dịu dàng', 'để', 'níu', 'bước', 'chân', 'anh']"
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,Other,"['1', 'cái', 'xe', 'cup', 'ngày xưa', 'bằng', 'mấy', 'cái', 'nhà', 'liền']"
mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,Enjoyment,"['mỗi', 'phút', 'bên', 'em', 'tuyệt vời', 'chỉ', 'em', 'mới', 'anh', 'cái', 'cảm giác']"
em chưa có người yêu . có ai yêu em không . em cô đơn quá,Sadness,"['em', 'chưa', 'người yêu', 'ai', 'yêu', 'em', 'không', 'em', 'cô đơn']"
nhỏ nhặt nhưng ý nghĩa và hạnh phúc cười_mỉm,Enjoyment,"['nhỏ', 'nhặt', 'nhưng', 'ý nghĩa', 'hạnh phúc', 'cười_mỉm']"
per cười hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày cười,Enjoyment,"['per', 'cười', 'hít', 'no', 'chứ', 'mắc công', 'chửi', 'tao', 'không', 'biết điều', 'giở trò', 'trước', 'mặt', 'cẩu fa', 'mày', 'cười']"
bả đòi cái gì vậy ?,Other,"['bả', 'đòi', 'cái', 'gì', '?']"
"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",Sadness,"['cái', 'thứ', 'ba', 'trời', 'nhìn', 'rơi', 'nước mắt', 'thay', 'luôn', 'công cả', 'mùa', 'đi tong', 'chỉ', 'trận', 'mưa']"
per biết không cười,Surprise,"['per', 'biết', 'không', 'cười']"
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,Sadness,"['dù', 'sống', 'mấy', 'đời', 'cũng', 'nợ', 'mẹ', 'cha', 'trọn', 'cả', 'mấy', 'đời']"
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự . bố tổ sư,Disgust,"['mấy', 'cái', 'tin', 'thường', 'làm', 'tan nát', 'tình cảm', 'gia đình', 'lúc', 'ăn', 'cơm', 'xem', 'thời sự', 'bố', 'tổ sư']"
cô tiên béo quá . cười_ngượng_ngùng giọng còn the thé nữa . cười_ngượng_ngùng,Disgust,"['cô', 'tiên béo', 'cười_ngượng_ngùng', 'giọng', 'còn', 'the thé', 'cười_ngượng_ngùng']"
lên án nhiều rồi mà vẫn thế .,Disgust,"['lên án', 'nhiều', 'vẫn', 'thế']"
thằng này ngu vãi,Disgust,"['thằng', 'ngu', 'vãi']"
cây tre có tận trăm đốt luôn hả ?,Surprise,"['cây', 'tre', 'tận', 'trăm', 'đốt', 'luôn', 'hả', '?']"
nói tiếng tuy hòa phú yên làm tao nhớ đến người_yêu_cũ . giọng nó sao ngọt không thể tả . buồn,Sadness,"['nói', 'tiếng', 'tuy', 'hòa phú yên', 'làm', 'tao', 'nhớ', 'người_yêu_cũ', 'giọng', 'nó', 'sao', 'ngọt', 'không thể', 'tả', 'buồn']"
"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép .",Disgust,"['per', 'mợ', 'mệt', 'trưa', 'nào', 'cũng', 'nhìn', 'mày', 'nhai', 'chóp chép']"
"đừng nên thích mấy ông anh cơ bắp , sợ lắm cười_toe_toét",Fear,"['đừng', 'thích', 'mấy', 'ông', 'anh', 'cơ bắp', 'sợ', 'lắm', 'cười_toe_toét']"
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ? cười,Enjoyment,"['ai', 'vừa', 'coi', 'thấy', 'phê phê', 'cái', 'lỗ', 'tai', 'giống', 'tôi', 'không', '?', 'cười']"
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ cười_lăn_lộn_trên_sàn,Disgust,"['tao', 'đéo', 'hiểu', 'sao', 'người yêu', 'tao', 'cắt', 'tóc', 'về', 'trông', 'mặt ngáo', 'kì', 'lạ', 'cười_lăn_lộn_trên_sàn']"
và khi quay lại nói chuyện với nhau . biết nói gì giờ huhu,Sadness,"['quay', 'nói chuyện', 'nhau', 'biết', 'nói', 'gì', 'giờ', 'huhu']"
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,Disgust,"['thằng', 'cha', 'bảo vệ', 'tâm', 'nge', 'con nhỏ', 'kêu', 'nguyên', 'đêm', 'zi', 'đéo', 'cứu']"
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,Disgust,"['cũng', 'mất công đẻ', 'sao', 'mẹ', 'chúng nó', 'đẻ', 'lũ', 'ngu', 'thế', 'haiz']"
